min,first-quarter,median,third-quarter,max
0.666666667,0.916666667,0.916666667,0.916666667,0.916666667
0.916666667,0.916666667,0.916666667,0.916666667,0.916666667
0.918918919,0.918918919,0.918918919,0.918918919,0.918918919
0.88,0.92,0.92,0.92,0.92
0.88,0.92,0.92,0.92,0.92
0.923076923,0.923076923,0.923076923,0.923076923,0.961538462
0.923076923,0.923076923,0.923076923,0.923076923,0.961538462
0.923076923,0.923076923,0.923076923,0.923076923,0.923076923
0.923076923,0.923076923,0.923076923,0.923076923,0.923076923
0.2,0.925,0.925,0.925,0.925
0.925925926,0.925925926,0.925925926,0.962962963,0.962962963
0.731707317,0.926829268,0.926829268,0.926829268,0.926829268
0.926829268,0.926829268,0.926829268,0.926829268,0.926829268
0.321428571,0.928571429,0.928571429,0.928571429,1
0.321428571,0.928571429,0.928571429,0.928571429,1
0.5,0.5,0.928571429,0.928571429,0.928571429
0.857142857,0.857142857,0.928571429,0.928571429,0.928571429
0.857142857,0.857142857,0.928571429,0.928571429,0.928571429
0.928571429,0.928571429,0.928571429,0.928571429,0.928571429
0.931034483,0.931034483,0.931034483,0.931034483,0.931034483
0.933333333,0.933333333,0.933333333,0.933333333,0.933333333
0.935483871,0.935483871,0.935483871,0.935483871,1
0.9375,0.9375,0.9375,0.9375,0.9375
0.9375,0.9375,0.9375,0.9375,0.9375
0.939393939,0.939393939,0.939393939,0.939393939,0.939393939
0.441176471,0.941176471,0.941176471,0.970588235,0.970588235
0.941176471,0.941176471,0.941176471,0.941176471,0.941176471
0.941176471,0.941176471,0.941176471,0.941176471,0.941176471
0.722222222,0.944444444,0.944444444,0.944444444,0.944444444
0.777777778,0.777777778,0.944444444,0.944444444,1
0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
0.944444444,0.944444444,0.944444444,0.944444444,1
0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
0.947368421,0.947368421,0.947368421,0.947368421,0.947368421
0.947368421,0.947368421,0.947368421,0.947368421,0.947368421
0.7,0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95,0.95
0.954545455,0.954545455,0.954545455,0.954545455,0.954545455
0.958333333,0.958333333,0.958333333,0.958333333,0.958333333
0.96,0.96,0.96,0.96,0.96
0.961538462,0.961538462,0.961538462,0.961538462,0.961538462
0.961538462,0.961538462,0.961538462,0.961538462,0.961538462
0.925925926,0.962962963,0.962962963,0.962962963,0.962962963
0.962962963,0.962962963,0.962962963,0.962962963,0.962962963
0.962962963,0.962962963,0.962962963,0.962962963,0.962962963
0.962962963,0.962962963,0.962962963,0.962962963,0.962962963
0.967741935,0.967741935,0.967741935,0.967741935,0.967741935
0.967741935,0.967741935,0.967741935,0.967741935,0.967741935
0.9375,0.9375,0.96875,1,1
0.333333333,0.333333333,1,1,1
0.714285714,0.714285714,1,1,1
0.763157895,1,1,1,1
0.818181818,1,1,1,1
0.857142857,0.857142857,1,1,1
0.866666667,0.866666667,1,1,1
0.9,1,1,1,1
0.913043478,0.913043478,1,1,1
0.913043478,0.913043478,1,1,1
0.928571429,1,1,1,1
0.928571429,1,1,1,1
0.958333333,0.958333333,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
