 ,  ,number
Mth,%bugs,0.5
Mth,%effort,0.7482517482517482
Mth,F1,0.6241258741258742
Mth,%bugs,1.0
Mth,%effort,0.015625
Mth,F1,0.5078125
Mth,%bugs,1.0
Mth,%effort,0.015625
Mth,F1,0.5078125
Mth,%bugs,0.4642857142857143
Mth,%effort,0.817258883248731
Mth,F1,0.6407722987672226
Mth,%bugs,1.0
Mth,%effort,0.13103448275862073
Mth,F1,0.5655172413793104
Mth,%bugs,0.4642857142857143
Mth,%effort,0.817258883248731
Mth,F1,0.6407722987672226
Mth,%bugs,0.3333333333333333
Mth,%effort,0.781021897810219
Mth,F1,0.5571776155717761
Mth,%bugs,0.3333333333333333
Mth,%effort,0.781021897810219
Mth,F1,0.5571776155717761
Mth,%bugs,0.5217391304347826
Mth,%effort,0.6823529411764706
Mth,F1,0.6020460358056265
Mth,%bugs,0.5217391304347826
Mth,%effort,0.6823529411764706
Mth,F1,0.6020460358056265
Mth,%bugs,0.52
Mth,%effort,0.8054054054054054
Mth,F1,0.6627027027027027
Mth,%bugs,0.52
Mth,%effort,0.8054054054054054
Mth,F1,0.6627027027027027
Mth,%bugs,0.8235294117647058
Mth,%effort,0.5966386554621849
Mth,F1,0.7100840336134453
Mth,%bugs,0.8235294117647058
Mth,%effort,0.5966386554621849
Mth,F1,0.7100840336134453
Mth,%bugs,1.0
Mth,%effort,0.3587786259541985
Mth,F1,0.6793893129770993
Mth,%bugs,1.0
Mth,%effort,0.3587786259541985
Mth,F1,0.6793893129770993
Mth,%bugs,1.0
Mth,%effort,0.14720812182741116
Mth,F1,0.5736040609137056
Mth,%bugs,1.0
Mth,%effort,0.14720812182741116
Mth,F1,0.5736040609137056
Mth,%bugs,0.4
Mth,%effort,0.813953488372093
Mth,F1,0.6069767441860465
Mth,%bugs,0.4
Mth,%effort,0.813953488372093
Mth,F1,0.6069767441860465
Mth,%bugs,1.0
Mth,%effort,0.11688311688311692
Mth,F1,0.5584415584415585
Mth,%bugs,1.0
Mth,%effort,0.11688311688311692
Mth,F1,0.5584415584415585
Mth,%bugs,0.7586206896551724
Mth,%effort,0.5481171548117154
Mth,F1,0.6533689222334439
Mth,%bugs,0.7586206896551724
Mth,%effort,0.5481171548117154
Mth,F1,0.6533689222334439
Mth,%bugs,0.42857142857142855
Mth,%effort,0.7058823529411764
Mth,F1,0.5672268907563025
Mth,%bugs,0.42857142857142855
Mth,%effort,0.7058823529411764
Mth,F1,0.5672268907563025
Mth,%bugs,1.0
Mth,%effort,0.06145251396648044
Mth,F1,0.5307262569832403
Mth,%bugs,1.0
Mth,%effort,0.0117647058823529
Mth,F1,0.5058823529411764
Mth,%bugs,0.7027027027027027
Mth,%effort,0.7333333333333334
Mth,F1,0.718018018018018
Mth,%bugs,0.631578947368421
Mth,%effort,0.7077922077922079
Mth,F1,0.6696855775803144
Mth,%bugs,1.0
Mth,%effort,0.007518796992481258
Mth,F1,0.5037593984962406
Mth,%bugs,0.625
Mth,%effort,0.6869565217391305
Mth,F1,0.6559782608695652
Mth,%bugs,0.88
Mth,%effort,0.4953271028037384
Mth,F1,0.6876635514018692
Mth,%bugs,1.0
Mth,%effort,0.3189189189189189
Mth,F1,0.6594594594594594
Mth,%bugs,1.0
Mth,%effort,0.010706638115631661
Mth,F1,0.5053533190578159
Mth,%bugs,0.2
Mth,%effort,0.7230769230769231
Mth,F1,0.46153846153846156
Mth,%bugs,0.95
Mth,%effort,0.2592592592592593
Mth,F1,0.6046296296296296
Mth,%bugs,0.8823529411764706
Mth,%effort,0.36585365853658536
Mth,F1,0.6241032998565279
Mth,%bugs,0.8
Mth,%effort,0.6
Mth,F1,0.7
Mth,%bugs,1.0
Mth,%effort,0.014925373134328401
Mth,F1,0.5074626865671642
Mth,%bugs,1.0
Mth,%effort,0.15523465703971118
Mth,F1,0.5776173285198556
Mth,%bugs,0.5454545454545454
Mth,%effort,0.7290322580645161
Mth,F1,0.6372434017595308
Mth,%bugs,1.0
Mth,%effort,0.023255813953488413
Mth,F1,0.5116279069767442
Mth,%bugs,0.25
Mth,%effort,0.854368932038835
Mth,F1,0.5521844660194175
Mth,%bugs,1.0
Mth,%effort,0.18181818181818177
Mth,F1,0.5909090909090908
Mth,%bugs,1.0
Mth,%effort,0.04950495049504955
Mth,F1,0.5247524752475248
Mth,%bugs,0.875
Mth,%effort,0.3035714285714286
Mth,F1,0.5892857142857143
Mth,%bugs,1.0
Mth,%effort,0.276595744680851
Mth,F1,0.6382978723404256
Mth,%bugs,0.85
Mth,%effort,0.3557046979865772
Mth,F1,0.6028523489932887
Mth,%bugs,1.0
Mth,%effort,0.007518796992481258
Mth,F1,0.5037593984962406
Mth,%bugs,1.0
Mth,%effort,0.025380710659898442
Mth,F1,0.5126903553299492
Mth,%bugs,0.9696969696969697
Mth,%effort,0.3111111111111111
Mth,F1,0.6404040404040404
Mth,%bugs,0.5
Mth,%effort,0.7674418604651163
Mth,F1,0.6337209302325582
Mth,%bugs,1.0
Mth,%effort,0.11475409836065575
Mth,F1,0.5573770491803278
Mth,%bugs,0.7727272727272727
Mth,%effort,0.5031847133757962
Mth,F1,0.6379559930515344
Mth,%bugs,1.0
Mth,%effort,0.09734513274336287
Mth,F1,0.5486725663716814
Mth,%bugs,0.875
Mth,%effort,0.467741935483871
Mth,F1,0.6713709677419355
Mth,%bugs,1.0
Mth,%effort,0.3587786259541985
Mth,F1,0.6793893129770993
Mth,%bugs,1.0
Mth,%effort,0.40594059405940597
Mth,F1,0.7029702970297029
Mth,%bugs,0.8333333333333334
Mth,%effort,0.28712871287128716
Mth,F1,0.5602310231023102
Mth,%bugs,0.7333333333333333
Mth,%effort,0.5596330275229358
Mth,F1,0.6464831804281346
Mth,%bugs,0.6111111111111112
Mth,%effort,0.6666666666666667
Mth,F1,0.638888888888889
Mth,%bugs,1.0
Mth,%effort,0.009708737864077666
Mth,F1,0.5048543689320388
Mth,%bugs,1.0
Mth,%effort,0.28358208955223885
Mth,F1,0.6417910447761195
Mth,%bugs,1.0
Mth,%effort,0.032258064516129004
Mth,F1,0.5161290322580645
Mth,%bugs,0.8
Mth,%effort,0.4444444444444444
Mth,F1,0.6222222222222222
Mth,%bugs,0.8125
Mth,%effort,0.4736842105263158
Mth,F1,0.643092105263158
Mth,%bugs,1.0
Mth,%effort,0.41747572815533984
Mth,F1,0.7087378640776699
Mth,%bugs,0.47058823529411764
Mth,%effort,0.7049180327868853
Mth,F1,0.5877531340405014
Mth,%bugs,0.6153846153846154
Mth,%effort,0.6440677966101696
Mth,F1,0.6297262059973925
Mth,%bugs,0.9333333333333333
Mth,%effort,0.45945945945945943
Mth,F1,0.6963963963963964
Mth,%bugs,0.7777777777777778
Mth,%effort,0.5454545454545454
Mth,F1,0.6616161616161615
Mth,%bugs,1.0
Mth,%effort,0.4
Mth,F1,0.7
Mth,%bugs,0.7727272727272727
Mth,%effort,0.6226415094339622
Mth,F1,0.6976843910806174
Mth,%bugs,1.0
Mth,%effort,0.07954545454545459
Mth,F1,0.5397727272727273
Mth,%bugs,1.0
Mth,%effort,0.08799999999999997
Mth,F1,0.544
Mth,%bugs,0.7222222222222222
Mth,%effort,0.6363636363636364
Mth,F1,0.6792929292929293
Mth,%bugs,1.0
Mth,%effort,0.06024096385542166
Mth,F1,0.5301204819277108
Mth,%bugs,1.0
Mth,%effort,0.12068965517241381
Mth,F1,0.5603448275862069
Mth,%bugs,1.0
Mth,%effort,0.02564102564102566
Mth,F1,0.5128205128205128
Mth,%bugs,1.0
Mth,%effort,0.09999999999999998
Mth,F1,0.55
Mth,%bugs,0.25
Mth,%effort,0.7169811320754718
Mth,F1,0.4834905660377359
Mth,%bugs,1.0
Mth,%effort,0.017241379310344862
Mth,F1,0.5086206896551724
Mth,%bugs,0.15384615384615385
Mth,%effort,0.6666666666666667
Mth,F1,0.4102564102564103
Mth,%bugs,0.26666666666666666
Mth,%effort,0.7837837837837838
Mth,F1,0.5252252252252252
Mth,%bugs,0.7222222222222222
Mth,%effort,0.6521739130434783
Mth,F1,0.6871980676328502
Mth,%bugs,1.0
Mth,%effort,0.007874015748031482
Mth,F1,0.5039370078740157
Mth,%bugs,0.9230769230769231
Mth,%effort,0.5211267605633803
Mth,F1,0.7221018418201517
Mth,%bugs,0.4074074074074074
Mth,%effort,0.7913043478260869
Mth,F1,0.5993558776167471
Mth,%bugs,0.9375
Mth,%effort,0.2566371681415929
Mth,F1,0.5970685840707964
Mth,%bugs,1.0
Mth,%effort,0.019607843137254943
Mth,F1,0.5098039215686274
Mth,%bugs,1.0
Mth,%effort,0.09090909090909094
Mth,F1,0.5454545454545454
Mth,%bugs,0.8823529411764706
Mth,%effort,0.41463414634146345
Mth,F1,0.648493543758967
Mth,%bugs,0.8823529411764706
Mth,%effort,0.6
Mth,F1,0.7411764705882353
Mth,%bugs,0.8947368421052632
Mth,%effort,0.4135338345864662
Mth,F1,0.6541353383458647
Mth,%bugs,0.42857142857142855
Mth,%effort,0.7692307692307692
Mth,F1,0.5989010989010989
Mth,%bugs,0.9285714285714286
Mth,%effort,0.4339622641509434
Mth,F1,0.681266846361186
Mth,%bugs,1.0
Mth,%effort,0.04672897196261683
Mth,F1,0.5233644859813085
Mth,%bugs,1.0
Mth,%effort,0.23076923076923073
Mth,F1,0.6153846153846154
Mth,%bugs,0.9545454545454546
Mth,%effort,0.5
