project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
227-325-bug÷£÷›µÿÃ˙∂˛Œ¨¬Îπ∫∆±≤‚ ‘_1470654508.csv,39.0,39.0,1.0,261.0,325.0,0.803076923076923,0.19692307692307698,0.32904884318766076,0.32904884318766076,261.0,0.0,66.0,36.0,28.0,26.0,
230-217-bug“◊‘º∞Æ≤‚ ‘_1470654510.csv,10.0,27.0,0.37037037037037035,12.0,217.0,0.055299539170506916,0.9447004608294931,0.5321219987021414,0.5321219987021414,162.0,-150.0,10.0,
231-217-“◊‘º∞Æ≤‚ ‘_1463738003.csv,10.0,27.0,0.37037037037037035,12.0,217.0,0.055299539170506916,0.9447004608294931,0.5321219987021414,0.5321219987021414,162.0,-150.0,10.0,
212-404-æ≠≥£÷±≤•ƒ⁄≤‚∞Ê≤‚ ‘_1463737964.csv,50.0,50.0,1.0,404.0,404.0,1.0,0.0,0.0,0.0,267.0,137.0,83.0,54.0,42.0,46.0,
161-270-∑ÔªÀ ”∆µbeta∞Ê_1463737748.csv,20.0,31.0,0.6451612903225806,70.0,270.0,0.25925925925925924,0.7407407407407407,0.689655172413793,0.689655172413793,220.0,-150.0,19.0,11.0,30.0,
162-412-Õ¯…œ∂©≤Õ»Ìº˛≤‚ ‘_1463737768.csv,12.0,51.0,0.23529411764705882,17.0,412.0,0.0412621359223301,0.9587378640776699,0.37785483678105947,0.37785483678105947,326.0,-309.0,12.0,
154-186-BCHMS≤‚ ‘_1463737680.csv,5.0,26.0,0.19230769230769232,17.0,186.0,0.0913978494623656,0.9086021505376344,0.3174305033809166,0.3174305033809166,149.0,-132.0,5.0,
150-275- Ø¡ÒÕ¯APP≤‚ ‘_1463737733.csv,10.0,34.0,0.29411764705882354,14.0,275.0,0.05090909090909091,0.9490909090909091,0.449070887818307,0.449070887818307,234.0,-220.0,10.0,
136-215-ºÚ√˜ÃÏ∆¯≤‚ ‘_1463737693.csv,20.0,24.0,0.8333333333333334,95.0,215.0,0.4418604651162791,0.5581395348837209,0.6685236768802229,0.6685236768802229,154.0,-59.0,29.0,17.0,15.0,
127-271-365Ã‘∑ø≤‚ ‘_1463737634.csv,9.0,32.0,0.28125,22.0,271.0,0.08118081180811808,0.9188191881918819,0.4306716633035457,0.4306716633035457,235.0,-213.0,5.0,13.0,
115-157-ÃÏÃÏ∫Ï∞¸≤‚ ‘_1463737606.csv,7.0,17.0,0.4117647058823529,21.0,157.0,0.1337579617834395,0.8662420382165605,0.5581940779829961,0.5581940779829961,122.0,-101.0,7.0,
119-337-º±æ»øÏÕ®≤‚ ‘_1463737643.csv,8.0,42.0,0.19047619047619047,14.0,337.0,0.04154302670623145,0.9584569732937686,0.3177960890419383,0.3177960890419383,288.0,-274.0,8.0,
124-326-“¬≈˙≤‚ ‘_1463737628.csv,19.0,40.0,0.475,30.0,326.0,0.09202453987730061,0.9079754601226994,0.6237107685482977,0.6237107685482977,238.0,-208.0,23.0,16.0,
11-117-π„∏Ê‘∆Õ∆ÀÕµ˜—–≤‚ ‘_1463737325.csv,6.0,9.0,0.6666666666666666,47.0,117.0,0.4017094017094017,0.5982905982905983,0.6306306306306306,0.6306306306306306,94.0,-47.0,5.0,7.0,
